module,type,title,topic,lessons,lesson_titles,build_status,canvas_module_id,canvas_url,content_json,activity_types,grading_profile,teacher_graded,textbook_pages,selected_interactives,video_plan,youtube_links,stf_title,stf_format,module_quiz,paper_packet_readiness,paper_packet_sources,paper_packet_activity_conversion,paper_packet_notes,savvas_links_total,savvas_links_linked,savvas_links_remaining,next_action,notes
11,project,PROJECT — Was Abraham Lincoln Racist? Academic Debate,,,,project,,,,custom project,teacher graded or rubric graded; plan with Baptiste,yes - project/rubric expected,,,,,,,,needs custom project packet,custom project packet/rubric needed,teacher-designed project handout,,0,0,0,Plan project with Baptiste before building.,
12,standard,"Mining, Railroads & Western Agriculture",Industrial and Economic Growth (1865-1914),T8.L1; T8.L2,"T8.L1: Mining, Railroads, and the Economy (p. 497-507); T8.L2: Western Agriculture (p. 508-519)",not_started,,,,eText reading,,,T8.L1 pp. 497-507 | T8.L2 pp. 508-519,,,,,,,,textbook T8.L1 pp. 497-507 | T8.L2 pp. 508-519,,,0,0,0,Inspect Savvas resources and draft module JSON.,
13,standard,Hardship for American Indians,Industrial and Economic Growth (1865-1914),T8.L3,T8.L3: Hardship for American Indians (p. 520-531),not_started,,,,eText reading,,,T8.L3 pp. 520-531,,,,,,,,textbook T8.L3 pp. 520-531,,,0,0,0,Inspect Savvas resources and draft module JSON.,
14,standard,"Industry, Corporations & Labor",Industrial and Economic Growth (1865-1914),T8.L4; T8.L5,T8.L4: Industry and Corporations (p. 532-540); T8.L5: The Labor Movement (p. 541-547),not_started,,,,eText reading,,,T8.L4 pp. 532-540 | T8.L5 pp. 541-547,,,,,,,,textbook T8.L4 pp. 532-540 | T8.L5 pp. 541-547,,,0,0,0,Inspect Savvas resources and draft module JSON.,
15,standard,New Technologies,Industrial and Economic Growth (1865-1914),T8.L6,T8.L6: New Technologies (p. 548-555),not_started,,,,eText reading,,,T8.L6 pp. 548-555,,,,,,,,textbook T8.L6 pp. 548-555,,,0,0,0,Inspect Savvas resources and draft module JSON.,
16,standard,Immigration & Urbanization,The Progressive Era (1865-1920),T9.L1; T9.L2,T9.L1: A New Wave of Immigration (p. 563-572); T9.L2: Urbanization (p. 573-579),not_started,,,,eText reading,,,T9.L1 pp. 563-572 | T9.L2 pp. 573-579,,,,,,,,textbook T9.L1 pp. 563-572 | T9.L2 pp. 573-579,,,0,0,0,Inspect Savvas resources and draft module JSON.,
17,standard,The Progressive Movement,The Progressive Era (1865-1920),T9.L3; T9.L4,T9.L3: The Rise of Progressivism (p. 580-589); T9.L4: The Progressive Presidents (p. 590-596),not_started,,,,eText reading,,,T9.L3 pp. 580-589 | T9.L4 pp. 590-596,,,,,,,,textbook T9.L3 pp. 580-589 | T9.L4 pp. 590-596,,,0,0,0,Inspect Savvas resources and draft module JSON.,
18,standard,Social Justice & a Changing Culture,The Progressive Era (1865-1920),T9.L5; T9.L6,T9.L5: Progress and Setbacks for Social Justice (p. 597-608); T9.L6: A Changing American Culture (p. 609-619),not_started,,,,eText reading,,,T9.L5 pp. 597-608 | T9.L6 pp. 609-619,,,,,,,,textbook T9.L5 pp. 597-608 | T9.L6 pp. 609-619,,,0,0,0,Inspect Savvas resources and draft module JSON.,
19,project,PROJECT — Current Events Connection,,,,project,,,,custom project,teacher graded or rubric graded; plan with Baptiste,yes - project/rubric expected,,,,,,,,needs custom project packet,custom project packet/rubric needed,teacher-designed project handout,,0,0,0,Plan project with Baptiste before building.,
20,exam,Final Exam,,,,exam,,,,exam,exam grading; plan separately,no - exam/self-graded expected unless changed,,,,,,,,needs exam packet,exam study/review packet needed,study guide and final exam directions packet,,0,0,0,Plan study guide and final exam setup.,
